domain|program_type|platform|source_detection|program_url|contact_email|security_email|batch|notes
1984.vc|DISCLOSURE||disclose_lookup||https://www.kb.cert.org/vuls/report/||2791|
9fin.com|DISCLOSURE||disclose_lookup||https://www.kb.cert.org/vuls/report/||2791|
a26.vc|DISCLOSURE||disclose_lookup||security@a26.vc||2791|
aajil.sa|DISCLOSURE||disclose_lookup||security@aajil.sa||2791|
abenex.com|DISCLOSURE||security.txt|https://abenex.com/security.txt|security@abenex.com||2791|
abill.io|DISCLOSURE||disclose_lookup||security@abill.io||2791|
absoluteinvestimentos.com.br|DISCLOSURE||disclose_lookup||security@absoluteinvestimentos.com.br||2791|
acctual.com|DISCLOSURE||disclose_lookup||security@acctual.com||2791|
agoracred.com.br|DISCLOSURE||disclose_lookup||security@agoracred.com.br||2791|
aibox.ai|DISCLOSURE||disclose_lookup||https://aibox.ai/responsible-use||2791|
airpay.co.in|DISCLOSURE||disclose_lookup||security@airpay.co.in||2791|
akua.la|DISCLOSURE||disclose_lookup||security@akua.la||2791|
allocate.co|DISCLOSURE||disclose_lookup||security@allocate.co||2791|
alpaca.markets|DISCLOSURE||security.txt|https://alpaca.markets/.well-known/security.txt|security@alpaca.markets||2791|
alphacast.io|DISCLOSURE||disclose_lookup||security@alphacast.io||2791|
alterdomus.com|DISCLOSURE||disclose_lookup||contact.lu@alterdomus.com||2791|
altfndata.com|DISCLOSURE||disclose_lookup||security@altfndata.com||2791|
andcapitalventures.com|DISCLOSURE||disclose_lookup||https://www.first.org/members/teams/capital_group||2791|
antler.co|DISCLOSURE||disclose_lookup||security@antler.co||2791|
aption.com|DISCLOSURE||disclose_lookup||security@aption.com||2791|
aries.com|PAID_BOUNTY|bugcrowd|security_page|https://aries.com/bug-bounty|||finance|Found at bug-bounty 
aries.com|DISCLOSURE||disclose_lookup||security@aries.com||2791|
atominvest.co|DISCLOSURE||disclose_lookup||security@atominvest.co||2791|
atriumdata.ai|DISCLOSURE||disclose_lookup||security@atriumdata.ai||2791|
auquan.com|DISCLOSURE||disclose_lookup||security@auquan.com||2791|
autocio.com|DISCLOSURE||disclose_lookup||security@autocio.com||2791|
aventure.vc|DISCLOSURE||disclose_lookup||security@aventure.vc||2791|
avici.money|DISCLOSURE||disclose_lookup||security@avici.money||2791|
b.capital|DISCLOSURE||disclose_lookup||https://www.first.org/members/teams/capital_group||2791|
badideas.fund|DISCLOSURE||disclose_lookup||security@badideas.fund||2791|
bajajbroking.in|DISCLOSURE||disclose_lookup||security@bajajbroking.in||2791|
battery.com|DISCLOSURE||disclose_lookup||security@battery.com||2791|
bigdata.com|DISCLOSURE||disclose_lookup||security@ravenpack.com||2791|
blindpay.com|DISCLOSURE||disclose_lookup||security@blindpay.com||2791|
blocksize.info|DISCLOSURE||disclose_lookup||security@blocksize.info||2791|
bloomberg.com|VDP_ONLY|self-hosted|security.txt||reportvuln@bloomberg.net||finance|security.txt found 
bloomberg.com|DISCLOSURE||security.txt|https://bloomberg.com/.well-known/security.txt|reportvuln@bloomberg.net||2791|
bluegamma.io|DISCLOSURE||disclose_lookup||security@bluegamma.io||2791|
bnicapital.com|DISCLOSURE||disclose_lookup||security@bnicapital.com||2791|
brain.fi|DISCLOSURE||disclose_lookup||ADMIN@brain.fi||2791|
brale.xyz|DISCLOSURE||security.txt|https://brale.xyz/.well-known/security.txt|security@brale.xyz||2791|
branch.co|DISCLOSURE||disclose_lookup||https://hackerone.com/priyanshuxo||2791|
bridgemarketplace.com|DISCLOSURE||disclose_lookup||security@bridgemarketplace.com||2791|
bsteuern.com|DISCLOSURE||disclose_lookup||security@bsteuern.com||2791|
builders.studio|DISCLOSURE||disclose_lookup||security@builders.studio||2791|
caisgroup.com|DISCLOSURE||disclose_lookup||security@caisgroup.com||2791|
cashflowfrog.com|DISCLOSURE||disclose_lookup||security@cashflowfrog.com||2791|
cashfree.com|DISCLOSURE||disclose_lookup||security@cashfree.com||2791|
century.ae|DISCLOSURE||disclose_lookup||security@century.ae||2791|
chargeback.io|DISCLOSURE||disclose_lookup||security@chargeback.io||2791|
chargebee.com|DISCLOSURE||disclose_lookup||security@chargebee.com||2791|
checkout.com|VDP_ONLY|bugcrowd|security_page|https://checkout.com/vulnerability-disclosure|||finance|Found at vulnerability-disclosure 
checkout.com|DISCLOSURE||disclose_lookup||security@checkout.com||2791|
chipax.com|DISCLOSURE||disclose_lookup||security@chipax.com||2791|
clarity.ai|DISCLOSURE||disclose_lookup||rebeca.minguela@clarity.ai||2791|
clemta.com|DISCLOSURE||disclose_lookup||security@clemta.com||2791|
cofi.ai|DISCLOSURE||disclose_lookup||security@cofi.ai||2791|
credix.finance|DISCLOSURE||disclose_lookup||security@credix.finance||2791|
criterionrsch.com|DISCLOSURE||disclose_lookup||security@criterionrsch.com||2791|
cryptoquant.com|DISCLOSURE||disclose_lookup||security@cryptoquant.com||2791|
cumbuca.com|VDP_ONLY|self-hosted|security.txt||security@cumbuca.com||finance|security.txt found 
cumbuca.com|DISCLOSURE||security.txt|https://cumbuca.com/.well-known/security.txt|security@cumbuca.com||2791|
danelfin.com|DISCLOSURE||disclose_lookup||security@danelfin.com||2791|
dash.fi|DISCLOSURE||disclose_lookup||security@dash.fi||2791|
dashplan.com.br|DISCLOSURE||disclose_lookup||security@dashplan.com.br||2791|
datanomik.com|DISCLOSURE||disclose_lookup||security@datanomik.com||2791|
dealflow.eu|DISCLOSURE||disclose_lookup||security@dealflow.eu||2791|
defillama.com|DISCLOSURE||disclose_lookup||security@defillama.com||2791|
digitalsurge.com.au|DISCLOSURE||disclose_lookup||security@digitalsurge.com.au||2791|
dodopayments.com|DISCLOSURE||security.txt|https://dodopayments.com/.well-known/security.txt|security@dodopayments.com||2791|
dowgo.com|DISCLOSURE||disclose_lookup||security@dowgo.com||2791|
drakerep.com|DISCLOSURE||disclose_lookup||security@drakerep.com||2791|
dukascopy.com|DISCLOSURE||security.txt|https://dukascopy.com/.well-known/security.txt|security@dukascopy.com||2791|
edgewaterresearch.com|DISCLOSURE||disclose_lookup||security@edgewaterresearch.com||2791|
