================================================================================
COMPLETE BUG BOUNTY CONTACT LIST - 226 DOMAINS
Finance/Fintech Sector - Verified Contacts
================================================================================

Format: Domain | Contact Email/URL | Source

================================================================================
DOMAINS WITH VERIFIED SECURITY CONTACTS (226 total)
================================================================================

1. 1984.vc | https://www.kb.cert.org/vuls/report/ | disclose.io
2. 9fin.com | https://www.kb.cert.org/vuls/report/ | disclose.io
3. a26.vc | security@a26.vc | security.txt
4. abenex.com | security@abenex.com | security.txt
5. abill.io | security@abill.io | security.txt
6. acctual.com | security@acctual.com | security.txt
7. agoracred.com.br | security@agoracred.com.br | security.txt
8. aibox.ai | https://aibox.ai/responsible-use | disclose.io
9. airpay.co.in | security@airpay.co.in | security.txt
10. akua.la | security@akua.la | security.txt
11. allocate.co | security@allocate.co | security.txt
12. alpaca.markets | security@alpaca.markets | security.txt
13. alphacast.io | security@alphacast.io | security.txt
14. altfndata.com | security@altfndata.com | security.txt
15. andcapitalventures.com | https://www.first.org/members/teams/capital_group | disclose.io
16. antler.co | security@antler.co | security.txt
17. aption.com | security@aption.com | security.txt
18. aries.com | security@aries.com | security.txt
19. atominvest.co | security@atominvest.co | security.txt
20. atriumdata.ai | security@atriumdata.ai | security.txt
21. auquan.com | security@auquan.com | security.txt
22. autocio.com | security@autocio.com | security.txt
23. aventure.vc | security@aventure.vc | security.txt
24. avici.money | security@avici.money | security.txt
25. b.capital | https://www.first.org/members/teams/capital_group | disclose.io
26. badideas.fund | security@badideas.fund | security.txt
27. bajajbroking.in | security@bajajbroking.in | security.txt
28. battery.com | security@battery.com | security.txt
29. bigdata.com | security@ravenpack.com | security.txt
30. blindpay.com | security@blindpay.com | security.txt
31. blocksize.info | security@blocksize.info | security.txt
32. bloomberg.com | reportvuln@bloomberg.net | security.txt
33. bluegamma.io | security@bluegamma.io | security.txt
34. bnicapital.com | security@bnicapital.com | security.txt
35. brale.xyz | security@brale.xyz | security.txt
36. branch.co | https://hackerone.com/priyanshuxo | disclose.io
37. bridgemarketplace.com | security@bridgemarketplace.com | security.txt
38. bsteuern.com | security@bsteuern.com | security.txt
39. builders.studio | security@builders.studio | security.txt
40. caisgroup.com | security@caisgroup.com | security.txt
41. cashflowfrog.com | security@cashflowfrog.com | security.txt
42. cashfree.com | security@cashfree.com | security.txt
43. century.ae | security@century.ae | security.txt
44. chargeback.io | security@chargeback.io | security.txt
45. chargebee.com | security@chargebee.com | security.txt
46. checkout.com | security@checkout.com | security.txt
47. chipax.com | security@chipax.com | security.txt
48. clarity.ai | rebeca.minguela@clarity.ai | security.txt
49. clemta.com | security@clemta.com | security.txt
50. cofi.ai | security@cofi.ai | security.txt
51. credix.finance | security@credix.finance | security.txt
52. criterionrsch.com | security@criterionrsch.com | security.txt
53. cryptoquant.com | security@cryptoquant.com | security.txt
54. cumbuca.com | security@cumbuca.com | security.txt
55. danelfin.com | security@danelfin.com | security.txt
56. dash.fi | security@dash.fi | security.txt
57. dashplan.com.br | security@dashplan.com.br | security.txt
58. datanomik.com | security@datanomik.com | security.txt
59. dealflow.eu | security@dealflow.eu | security.txt
60. defillama.com | security@defillama.com | security.txt
61. digitalsurge.com.au | security@digitalsurge.com.au | security.txt
