domain|verdict|program_type|source_step|program_url|platform|contact_email|notes
aajil.sa|FOUND|N/A|disclose_lookup|||security@aajil.sa|via disclose.io lookup (cert, convention)
1984.vc|FOUND|N/A|disclose_lookup|||https://www.kb.cert.org/vuls/report/|via disclose.io lookup (cert)
aibox.ai|FOUND|N/A|disclose_lookup|||https://aibox.ai/responsible-use|via disclose.io lookup (cert, convention, email, vdp)
agoracred.com.br|FOUND|N/A|disclose_lookup|||security@agoracred.com.br|via disclose.io lookup (cert, convention)
akua.la|FOUND|N/A|disclose_lookup|||security@akua.la|via disclose.io lookup (cert, convention)
acctual.com|FOUND|N/A|disclose_lookup|||security@acctual.com|via disclose.io lookup (cert, convention)
9fin.com|FOUND|N/A|disclose_lookup|||https://www.kb.cert.org/vuls/report/|via disclose.io lookup (cert)
alpaca.markets|FOUND|N/A|security.txt|https://alpaca.markets/.well-known/security.txt||security@alpaca.markets|security.txt: property="og, content="https, <meta content="en" property="og, <meta content="alpaca" property="og, <meta content="website" property="og, <meta content="https, <meta content="website" property="article, <meta content="summary_large_image" name="twitter, <meta content="alpaca.markets" name="twitter, name="twitter, <meta content="@alpacahq" name="twitter, <link href="https, href="https, src="https, <script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start', new date().gettime(),event, j=d.createelement(s),dl=l!='datalayer'?'&l='+l, 'https, xmlns="http, <desc>http, <a href="https, <svg class="navi__sub__item__title__icon" xmlns="http, xmlns='http, <mask id="mask0_820_26366" style="mask-type, b.src = "https, <img height="1" width="1" style="display, member <a href="https, commission-free trading is available to alpaca's retail customers. commission-free trading means that there are no commission charges for alpaca self-directed individual cash brokerage accounts that trade u.s.-listed securities and options through an api. however, certain arrangements with authorized business partners or the use of the elite smart router as part of the alpaca elite offering may preclude commission free trades by alpaca clearing. please refer to the <a href="https, s.exe ? s.exe.apply(s, arguments), font-family, align-items, background, color, display, flex-wrap, justify-content, left, position, width, z-index, bottom, <div style="flex, style="color, border, border-radius, box-shadow, cursor, flex, padding, margin, font-size, "@context", "@type", "url", "logo", "name", "legalname", "description", "image", "award", "address", "streetaddress", "addresslocality", "addressregion", "postalcode", "addresscountry", "telephone", "email", "contactpoint", "contacttype", "availablelanguage", "sameas", "http, "https, "documentation", "provider"
a26.vc|FOUND|N/A|disclose_lookup|||security@a26.vc|via disclose.io lookup (cert, convention)
abenex.com|FOUND|N/A|security.txt|https://abenex.com/security.txt||security@abenex.com|security.txt: <link rel="preload" href="https, <meta name="description" content="abenex accompagne les entreprises avec 3 objectifs, <meta property="og, <link rel="shortcut icon" href="https, <link rel="apple-touch-icon" sizes="57x57" href="https, <link rel="apple-touch-icon" sizes="60x60" href="https, <link rel="apple-touch-icon" sizes="72x72" href="https, <link rel="apple-touch-icon" sizes="76x76" href="https, <link rel="apple-touch-icon" sizes="114x114" href="https, <link rel="apple-touch-icon" sizes="120x120" href="https, <link rel="apple-touch-icon" sizes="144x144" href="https, <link rel="apple-touch-icon" sizes="152x152" href="https, <link rel="apple-touch-icon" sizes="180x180" href="https, <link rel="icon" type="image/png" sizes="192x192" href="https, <link rel="icon" type="image/png" sizes="32x32" href="https, <link rel="icon" type="image/png" sizes="96x96" href="https, <link rel="icon" type="image/png" sizes="16x16" href="https, <link rel="manifest" href="https, <meta name="msapplication-tileimage" content="https, <link rel="preconnect" href="https, <link rel="stylesheet" href="https, ad_storage, analytics_storage, ad_user_data, ad_personalization, functionality_storage, personalization_storage, security_storage, wait_for_update, // format du cookie, var m = document.cookie.match(/(?, <script src="https, privacyurl, bodyposition, hashtag, cookiename, orientation, groupservices, showdetailsonclick, servicedefaultstate, showalertsmall, cookieslist, closepopup, showicon, iconposition, adblocker, denyallcta, acceptallcta, highprivacy, handlebrowserdntrequest, removecredit, moreinfolink, useexternalcss, useexternaljs, readmorelink, mandatory, mandatorycta, var t = e.target && e.target.closest ? e.target.closest('button, a'), <a href="https, <img src="https, const t_blink     = ismobile ? 1600, const t_zoom      = ismobile ? 2100, const t_pointer   = ismobile ? 3000, const t_end       = ismobile ? 5200, <iframe class="hero__video" src="https, <h1 class="hero__title display-massive animate-in delay-1"><span style="font-size, <p class="hero__subtitle animate-in delay-2" style="color, <h2><strong>plus de<br>30 ans</strong> d'expérience<br><span style="font-weight, <img class="accompagnement-section__icon" src="https, <div class="chevron-split__text" style="color, <div class="split-section__label" style="margin-bottom, <p>notre mission, <li><a href="https, <li style="margin-top, <li><a href="mailto
allocate.co|FOUND|N/A|disclose_lookup|||security@allocate.co|via disclose.io lookup (cert, convention)
alphacast.io|FOUND|N/A|disclose_lookup|||security@alphacast.io|via disclose.io lookup (cert, convention)
andcapitalventures.com|FOUND|N/A|disclose_lookup|||https://www.first.org/members/teams/capital_group|via disclose.io lookup (cert, convention, psirt)
abill.io|FOUND|N/A|disclose_lookup|||security@abill.io|via disclose.io lookup (cert, convention)
aries.com|FOUND|N/A|disclose_lookup|||security@aries.com|via disclose.io lookup (cert, convention)
antler.co|FOUND|N/A|disclose_lookup|||security@antler.co|via disclose.io lookup (cert, convention)
aption.com|FOUND|N/A|disclose_lookup|||security@aption.com|via disclose.io lookup (cert, convention)
airpay.co.in|FOUND|N/A|disclose_lookup|||security@airpay.co.in|via disclose.io lookup (cert, convention)
atominvest.co|FOUND|N/A|disclose_lookup|||security@atominvest.co|via disclose.io lookup (cert, convention, email)
auquan.com|FOUND|N/A|disclose_lookup|||security@auquan.com|via disclose.io lookup (cert, convention)
atriumdata.ai|FOUND|N/A|disclose_lookup|||security@atriumdata.ai|via disclose.io lookup (cert, convention)
altfndata.com|FOUND|N/A|disclose_lookup|||security@altfndata.com|via disclose.io lookup (cert, convention)
avici.money|FOUND|N/A|disclose_lookup|||security@avici.money|via disclose.io lookup (cert, convention)
b.capital|FOUND|N/A|disclose_lookup|||https://www.first.org/members/teams/capital_group|via disclose.io lookup (cert, convention, psirt)
badideas.fund|FOUND|N/A|disclose_lookup|||security@badideas.fund|via disclose.io lookup (cert, convention)
