Total domains to research: 234
domain|verdict|program_type|source_step|program_url|platform|notes
akua.la|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
aption.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
acctual.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
auquan.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
aajil.sa|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
alpaca.markets|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
andcapitalventures.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
avici.money|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
alphacast.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
aries.com|FOUND|PAID_BOUNTY|security_page|https://aries.com/bug-bounty|self-hosted|Found at security page
bloomberg.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found
bigdata.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
aibox.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
9fin.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
aventure.vc|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
allocate.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
bluegamma.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
agoracred.com.br|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
b.capital|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
atriumdata.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
altfndata.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
antler.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
builders.studio|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
blocksize.info|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
1984.vc|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
atominvest.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
chipax.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
brain.fi|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
branch.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
a26.vc|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
caisgroup.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
checkout.com|FOUND|PAID_BOUNTY|security_page|https://checkout.com/vulnerability-disclosure|bugcrowd|Found at security page
cashflowfrog.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
bsteuern.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
credix.finance|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
cumbuca.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found
bridgemarketplace.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
cryptoquant.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
battery.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
danelfin.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abill.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
dodopayments.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found
brale.xyz|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
dashplan.com.br|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
dash.fi|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
chargebee.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
chargeback.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
blindpay.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
criterionrsch.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
cofi.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fastpace.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
defillama.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
eukonomy.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
drakerep.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fintoc.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
firstround.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abenex.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
badideas.fund|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
clarity.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
dowgo.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
alterdomus.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
flowcredi.com.br|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
goodfin.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
forkast.gg|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
flowcode.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
clemta.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
dealflow.eu|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
embankment.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
goldwasserexchange.be|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
harmoney.in|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
gyramais.com.br|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
hubpay.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
ibanfirst.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found
airpay.co.in|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
genzdealz.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fundify.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
edgewaterresearch.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fastmoss.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
digitalsurge.com.au|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
influee.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
century.ae|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
bajajbroking.in|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
heavybit.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
histellar.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
finalto.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
dukascopy.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
goodwatercap.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
finnest.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
indmoney.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
kredfeed.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
klubi.com.br|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
joinotto.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
hrsubsidies.nl|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
kruncher.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
jaz.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
kashable.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
autocio.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
bnicapital.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
kilde.sg|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
guinnessgi.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
icmarkets.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
karmelcapital.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
greenstreet.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
luxusco.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
mandaprofinanceiro.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
kourawealth.co.nz|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
investdefy.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
cashfree.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
lawtrades.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
mkt1.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
memberstack.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
mollie.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/mollie|hackerone|security.txt found
lpanalyst.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
marketxls.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
hewison.com.au|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
