domain|verdict|program_type|source_step|program_url|platform|contact_email|notes
besample.app|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@besample.app|disclosure channel confirmed
bdtax.com.bd|FOUND|VDP|disclose.io|https://bdtax.com.bd/security.txt|self-hosted|security@bdtax.com.bd|disclosure channel confirmed
beemdata.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@beemdata.com|disclosure channel confirmed
betterbugs.io|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@betterbugs.io|disclosure channel confirmed
betterstack.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@betterstack.com|disclosure channel confirmed
bigvu.tv|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bigvu.tv|disclosure channel confirmed
bigenius-x.com|FOUND|VDP|disclose.io|https://cert.at/en/|self-hosted|security@bigenius-x.com|disclosure channel confirmed
bigdata.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@ravenpack.com|disclosure channel confirmed
bhhc.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bhhc.com|disclosure channel confirmed
binderr.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@binderr.com|disclosure channel confirmed
bfl.ai|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bfl.ai|disclosure channel confirmed
bidprime.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bidprime.com|disclosure channel confirmed
binclusive.io|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@binclusive.io|disclosure channel confirmed
beveldata.com|FOUND|VDP|disclose.io|https://beveldata.com/.well-known/security.txt|self-hosted|security@beveldata.com|disclosure channel confirmed
billclap.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@billclap.com|disclosure channel confirmed
bitrise.io|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bitrise.io|disclosure channel confirmed
bizaway.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bizaway.com|disclosure channel confirmed
blend-ai.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@blend-ai.com|disclosure channel confirmed
blinq.me|FOUND|VDP|disclose.io|https://blinq.me/security/responsible-disclosure-program|self-hosted|security@blinq.me|disclosure channel confirmed
blocksize.info|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@blocksize.info|disclosure channel confirmed
bitquery.io|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bitquery.io|disclosure channel confirmed
bizstream.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bizstream.com|disclosure channel confirmed
bluegamma.io|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bluegamma.io|disclosure channel confirmed
bmsgroup.com.br|FOUND|VDP|disclose.io|https://www.cert.br/|self-hosted|security@bmsgroup.com.br|disclosure channel confirmed
bluente.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bluente.com|disclosure channel confirmed
blazesql.com|FOUND|VDP|disclose.io|https://csirtsnetwork.eu/|self-hosted|security@blazesql.com|disclosure channel confirmed
bloomberg.com|FOUND|VDP|disclose.io|https://bloomberg.com/.well-known/security.txt|self-hosted|security@bloomberg.com|disclosure channel confirmed
bluetriangle.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@bluetriangle.com|disclosure channel confirmed
blockchain0x.com|FOUND|VDP|disclose.io|https://blockchain0x.com/.well-known/security.txt|self-hosted|security@blockchain0x.com|disclosure channel confirmed
blindpay.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@blindpay.com|disclosure channel confirmed
blockscholes.com|FOUND|VDP|disclose.io|https://www.kb.cert.org/vuls/report/|self-hosted|security@blockscholes.com|disclosure channel confirmed
