domain,verdict,program_type,source_step,program_url,platform,contact_email,notes
aibox.ai,FOUND,N/A,disclose_lookup,,,https://aibox.ai/responsible-use,"via disclose.io lookup (cert, convention, email, vdp)"
agoracred.com.br,FOUND,N/A,disclose_lookup,,,security@agoracred.com.br,"via disclose.io lookup (cert, convention)"
9fin.com,FOUND,N/A,disclose_lookup,,,https://www.kb.cert.org/vuls/report/,via disclose.io lookup (cert)
1984.vc,FOUND,N/A,disclose_lookup,,,https://www.kb.cert.org/vuls/report/,via disclose.io lookup (cert)
abenex.com,FOUND,N/A,security.txt,https://abenex.com/security.txt,,security@abenex.com,"security.txt: <link rel=""preload"" href=""https, <meta name=""description"" content=""abenex accompagne les entreprises avec 3 objectifs, <meta property=""og, <link rel=""shortcut icon"" href=""https, <link rel=""apple-touch-icon"" sizes=""57x57"" href=""https, <link rel=""apple-touch-icon"" sizes=""60x60"" href=""https, <link rel=""apple-touch-icon"" sizes=""72x72"" href=""https, <link rel=""apple-touch-icon"" sizes=""76x76"" href=""https, <link rel=""apple-touch-icon"" sizes=""114x114"" href=""https, <link rel=""apple-touch-icon"" sizes=""120x120"" href=""https, <link rel=""apple-touch-icon"" sizes=""144x144"" href=""https, <link rel=""apple-touch-icon"" sizes=""152x152"" href=""https, <link rel=""apple-touch-icon"" sizes=""180x180"" href=""https, <link rel=""icon"" type=""image/png"" sizes=""192x192"" href=""https, <link rel=""icon"" type=""image/png"" sizes=""32x32"" href=""https, <link rel=""icon"" type=""image/png"" sizes=""96x96"" href=""https, <link rel=""icon"" type=""image/png"" sizes=""16x16"" href=""https, <link rel=""manifest"" href=""https, <meta name=""msapplication-tileimage"" content=""https, <link rel=""preconnect"" href=""https, <link rel=""stylesheet"" href=""https, ad_storage, analytics_storage, ad_user_data, ad_personalization, functionality_storage, personalization_storage, security_storage, wait_for_update, // format du cookie, var m = document.cookie.match(/(?, <script src=""https, privacyurl, bodyposition, hashtag, cookiename, orientation, groupservices, showdetailsonclick, servicedefaultstate, showalertsmall, cookieslist, closepopup, showicon, iconposition, adblocker, denyallcta, acceptallcta, highprivacy, handlebrowserdntrequest, removecredit, moreinfolink, useexternalcss, useexternaljs, readmorelink, mandatory, mandatorycta, var t = e.target && e.target.closest ? e.target.closest('button, a'), <a href=""https, <img src=""https, const t_blink     = ismobile ? 1600, const t_zoom      = ismobile ? 2100, const t_pointer   = ismobile ? 3000, const t_end       = ismobile ? 5200, <iframe class=""hero__video"" src=""https, <h1 class=""hero__title display-massive animate-in delay-1""><span style=""font-size, <p class=""hero__subtitle animate-in delay-2"" style=""color, <h2><strong>plus de<br>30 ans</strong> d'expérience<br><span style=""font-weight, <img class=""accompagnement-section__icon"" src=""https, <div class=""chevron-split__text"" style=""color, <div class=""split-section__label"" style=""margin-bottom, <p>notre mission, <li><a href=""https, <li style=""margin-top, <li><a href=""mailto"
abill.io,FOUND,N/A,disclose_lookup,,,security@abill.io,"via disclose.io lookup (cert, convention)"
a26.vc,FOUND,N/A,disclose_lookup,,,security@a26.vc,"via disclose.io lookup (cert, convention)"
acctual.com,FOUND,N/A,disclose_lookup,,,security@acctual.com,"via disclose.io lookup (cert, convention)"
allocate.co,FOUND,N/A,disclose_lookup,,,security@allocate.co,"via disclose.io lookup (cert, convention)"
aajil.sa,NOT_FOUND,N/A,none,,,,Error: timeout
absoluteinvestimentos.com.br,NOT_FOUND,N/A,none,,,,Error: timeout
