domain|verdict|program_type|source_step|program_url|platform|notes
abacum.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
a-leads.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
30x.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
1-commerce.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
aajil.sa|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
5centscdn.net|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
1up.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
1984.vc|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
3i.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abatable.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abcsmarttech.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abcnews.go.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abcwholesale.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abble.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
4degrees.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abeautifulsite.net|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
1000ps.at|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abe.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
8m.eu|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
1fit.app|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
100hires.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abmglobal.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abcmouse.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abuse.ch|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://abuse.ch/.well-known/security.txt
abide.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abeka.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abercrombie.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abtasty.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abra.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
academia.edu|FOUND|PAID_BOUNTY|security.txt|https://bugcrowd.com/vulnerability-rating-taxonomy|bugcrowd|security.txt found at https://academia.edu/.well-known/security.txt
abusix.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://abusix.com/.well-known/security.txt
abnormalsecurity.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
ableto.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
acronis.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/acronis/|hackerone|security.txt found at https://acronis.com/.well-known/security.txt
acquia.com|FOUND|PAID_BOUNTY|security.txt||self-hosted|security.txt found at https://acquia.com/.well-known/security.txt
aberdeen.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abuseipdb.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
abrigo.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
acclaro.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
